Amanda Katili,Niode,Omar Niode Foundation - Agriculture: Food & Culinary Arts,www.omarniode.org,@omarniode,DKI Jakarta
Angie,Hampton,Rassasy Me,www.rassasyme.com,@rassasyme,OR
Ani,Arambula,Confessions of a Foodie,www.confessionsofafoodie.me,@afotogirl,CA
Anna,Salvatore,Great 8 Friends,www.greateightfriends.com,@great8friends,CA
Anushree,Shetty,Simmer to Slimmer,0,@simmertoslimmer,IL
Aoffie,Thansita,Vegsacramento,www.vegmidtown.com,@,CA
Apinya,Yingsook,Thaibasilsacramento,www.Thaibasilrestaurant.com,@,CA
Bevyn,Cassidy,One Hot Oven,www.onehotoven.com,@onehotoven,CA
Charles,Pizzo,Freelance food PR + social media,www.culinaryagents.com/talents/131745-Charles-Pizzo,@,LA
David,Neuman,GAEA North America LLC,www.gaeaus.com,@GaeaOliveOil,CA
Deanna,Kang,farm2chopstick,www.farm2chopstick.com,@farm2chopstick,CA
Debbie,Farinella,Great 8 Friends,www.great8friends.com,@great8friends,CA
Eleanor,McAuliffe,Kakain na!,kakainna.wordpress.com,@KakainNa_EatNow,CA
Eli,Med,Fine Wine Poet,www.finewinepoet.com,@finewinepoet,CA
Emily,Heston,Splendid Market,www.splendidmarket.com,@splendidmarket,WA
Gwynn,Galvin,Swirls of Flavor,www.swirlsofflavor.com,@SwirlsofFlavor,NJ
Heather,Johnson,Food Hussy,www.thefoodhussy.com,@foodhussy,OH
Hyosun,Ro,Korean Bapsang,www.koreanbapsang.com,@hyosunro,VA
Janice,Bungert,Gastronomama,www.gastronomama.com,@gastronomama,CA
Jannese,Torres-Rodriguez,Delish D'Lites,www.delishdlites.com,@delishdlites,NJ
Jere,Cassidy,One Hot Oven,www.onehotoven.com,@onehotoven,CA
Jess,Vallery,Moxie Lady,www.jessvallery.com,@Moxie_Lady,CA
Jessica,Stier,Desserts With Benefits,www.dessertswithbenefits.com,@DWBenefits,TX
Jessica,Formicola,Savory Experiments,www.savoryexperiments.com,@savory_cooking,MD
Jill,Lucas,Eating My Words,www.eatingmywords-jwl.blogspot.com,@jwlucasnc,NC
Joanie,Harmon,Girl Meets Soup,www.girlmeetssoup.blogspot.com,@,CA
Joelen,Kenny,What's Cookin-Chicago,www.whatscookinchicago.com,@WC_Chicago,IL
Julia,Dunaway,Chef Julia,www.chef-julia.com,@juliadunaway,TX
Julie,Lee,Omnivore Out and About,www.omnivoreoutandabout.com,@,DC
Jurga,Streit,Great 8 Friends,www.greateightfriends.com,@great8friends,CA
Kelly,Jaggers,Evil Shenanigans,www.evilshenanigans.com,@bakingblog,TX
Kelly,Haffner,Kitchen Gone Rogue,www.kitchengonerogue.com,@kitchengonogue,TX
Kimberly,Morelli,Contessa Grigia,www.contessagrigia.com,@contessagrigia,CA
Kris,Johnson,say yum!,www.sayYUM.com,@isayyum,CA
Kyle,Van Boom,Great 8 Friends,www.great8friends.com,@great8friends,CA
Linda,Ooi,Roti n Rice,www.rotinrice.com,@rotinrice,MN
Lisa,Lau,510foodie,www.510foodie.com,@510foodie,CA
Lisa Marie,Todd,An Appetizing Life,www.anappetizinglife.com,@lisamarietodd,CA
Liza,Swift,Brixchicks.com,www.brixchicks.com,@BrixChick_Liza,CA
Lizzy,Wermuth,A Tasty Mess,www.atastymess.com,@atastymess,TX
Maria,Perez,Sew Travel Inspired,www.Sewtravelinspired.com,@sewtravinspired,CA
Mark,Jaggers,Evil Shenanigans,www.evilshenanigans.com,@roadrashtx,TX
Mark,Henderson,Beardtastic Recipes,www.beardtasticrecipes.com,@BeardtasRecipes,LA
Midgi,Moore,Juneau Food Tours,www.juneaufoodtours.com,@juneaufoodtours,AK
Ninette,Dean,eat bake and travel,www.eatbaketravel.com,@eatbaketravel,DC
Paul,Ooi,Malaysian Chinese Kitchen,www.malaysianchinesekitchen.com,@mach_kitchen,MN
Rachel,Roe,Tramplingrose: Cooking Baking & Ranting in Small-Town South Dakota,www.tramplingrose.com,@tramplingrose,SD
Ramya,Ramamurthy,My Roots My Rambles,www.myrootsmyrambles.com,@myrootsmyramble,CA
Saffron,Hodgson,Bush Cooking,www.bushcooking.com,@BushCooking,WA
Samantha,Miller,Blooming Bites,www.bloomingbitesphotography.com,@BloomingBites,CA
Shannah,Coe,My Suburban Kitchen,www.mysuburbankitchen.com,@suburbankitchn,VA
Shannon,Epstein,Fit Slow Cooker Queen,www.fitslowcookerqueen.com,@fitslowcooker,CA
Sheri,Wetherell,Foodista,www.foodista.com,@foodista,WA
Stacy,Brooks,Tangled Up In Food,www.tangledupinfood.com,@tangledfood,MN
Suleka,Sun-lindley,Thai Basil restaurant and Veg cafe,www.Thaibasilrestaurant.com,@,CA
Susanne,Duplantis,Makeover My Leftover,www.makeovermyleftover.com,@makemyleftover,LA
Sutee,Dee,How to Eat in Peru,www.howtoeatinperu.com,@,CA
Tessa,Duff,Blooming Bites,www.bloomingbitesphotography.com,@BloomingBites,CA
Tiffany,Haugen,Haugen Enterprises,www.tiffanyhaugen.com,@TDHaugen,OR
Timothy,Gast,Have You Eaten SF?,www.haveyoueatensf.com,@haveyoueatensf,CA
Wendi,Spraker,Loaves and Dishes,www.loavesanddishes.net,@loavesanddishes,PA
